Date,Time,Island.atoll,Species,Site.name,Type,Lat ,Lon,Falcon.tube,Sample.num,Depth..m,Algal.mass..mg,Alga.N..ug,d15N.alg,Alga.C..ug,d13C.alg,Host.mass..mg,N.host..ug,d15N.host,C.host..ug,d13C.host,C.N.alga,C.N.host,Temperature,Salinity,NO3,SiO2,PO4,NH3,Chla..ugL,TA..umolkg,DIC..umolkg,N.POM..ug,d15N.POM,C.POM..ug,d13C.POM,notes
7/14/21,8:56 AM,PHA,Porites sp.,F11,FR,27.79029,-176,P+H 1,10,19.81,0.51,20.8,3.4,175.5,-17.3,0.53,3.7,NA,35.2,-18.2,9.84,11.10,26.26,35.21,0.089,0.277,<0.01,<0.09,0.01665,2331.92,2009.4,14.8,2.7,255.7,-25.9,
7/14/21,8:56 AM,PHA,Porites sp.,F11,FR,27.79029,-176,P+H 2,11,19.81,0.5,24.2,4.1,196.9,-15,0.54,3.9,NA,41.3,-17.2,9.49,12.35,26.26,35.21,0.089,0.277,<0.01,<0.09,0.01665,2331.92,2009.4,14.8,2.7,255.7,-25.9,
7/14/21,8:56 AM,PHA,Porites sp.,F11,FR,27.79029,-176,P+H 3,12,19.81,0.52,22,3.4,153.3,-16.5,0.51,6.8,6,66.4,-17.9,8.13,11.39,26.26,35.21,0.089,0.277,<0.01,<0.09,0.01665,2331.92,2009.4,14.8,2.7,255.7,-25.9,
7/14/21,10:41 AM,PHA,Porites sp.,F*(star),FR,27.79041,-175.99626,P+H 4,13,9.14,0.5,30.5,4.2,216.5,-16.1,0.5,3.3,NA,35.4,-16.8,8.28,12.52,26.4,35.23,0.153,4.271,<0.01,<0.09,0.0334,2308.46,2011.2,NA,NA,NA,NA,
7/14/21,10:41 AM,PHA,Porites sp.,F*(star),FR,27.79041,-175.99626,P+H 5,14,9.14,0.5,18.2,4,140.5,-15.5,0.5,3.8,NA,36.2,-16.3,9.01,11.11,26.4,35.23,0.153,4.271,<0.01,<0.09,0.0334,2308.46,2011.2,NA,NA,NA,NA,
7/14/21,10:41 AM,PHA,Porites sp.,F*(star),FR,27.79041,-175.99626,P+H 6,15,9.14,0.51,9.5,4.2,111,-12.9,0.5,3.1,NA,30.4,-17.8,13.63,11.44,26.4,35.23,0.153,4.271,<0.01,<0.09,0.0334,2308.46,2011.2,NA,NA,NA,NA,
7/15/21,8:40 AM,PHA,Pocillopora sp.,F8,FR,27.78547,-175.824,P+H 7,16,12.19,0.2,13.5,2.6,93.8,-18.3,0.51,28.4,3.1,293,-17.2,8.11,12.04,26.18,35.22,<0.06,0.085,<0.01,<0.09,0.063,2342.42,2005.7,15.9,3.3,245,-29.6,
7/15/21,8:40 AM,PHA,Pocillopora sp.,F8,FR,27.78547,-175.824,P+H 8,17,12.19,0.1,11.4,1.1,70.8,-17.9,0.51,37.2,4,226.3,-18.6,7.25,7.10,26.18,35.22,<0.06,0.085,<0.01,<0.09,0.063,2342.42,2005.7,15.9,3.3,245,-29.6,
7/15/21,8:40 AM,PHA,Pocillopora sp.,F8,FR,27.78547,-175.824,P+H 9,18,12.19,0.58,14.7,1.4,101.4,-18.1,0.52,25.5,3.1,172.2,-18,8.05,7.88,26.18,35.22,<0.06,0.085,<0.01,<0.09,0.063,2342.42,2005.7,15.9,3.3,245,-29.6,
7/15/21,11:21 AM,PHA,Pocillopora sp.,F9,FR,27.78668,-175.876,P+H 10,19,12.19,NA,NA,NA,NA,NA,0.51,22.4,3.1,154.9,-18.4,NA,8.07,26.42,35.25,<0.06,0.364,<0.01,<0.09,0.0144,2327.445,1998,14.9,2.2,337.1,-31,
