* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = D:\Kelly_PMNM_plate2.eds
* Experiment Run End Time = 2016-10-05 16:42:53 PM PDT
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	NOISE	CTFAIL
A1	blank	C	UNKNOWN	VIC	NFQ-MGB	15.5986	11.536	3.9239				false	0.01	false	16	22		Y	N	Y	N
A1	blank	D	UNKNOWN	FAM	NFQ-MGB	22.161	22.0729	3.8722				false	0.01	false	16	22		Y	N	Y	N
A2	PMNM_+C	C	UNKNOWN	VIC	NFQ-MGB	32.5813	32.3343	0.3494				false	0.01	false	16	22		Y	N	N	N
A2	PMNM_+C	D	UNKNOWN	FAM	NFQ-MGB	32.5723	32.024	0.7755				false	0.01	false	16	22		Y	N	N	N
A3	PMNM_+C	C	UNKNOWN	VIC	NFQ-MGB	32.0872	32.3343	0.3494				false	0.01	false	16	22		Y	N	N	N
A3	PMNM_+C	D	UNKNOWN	FAM	NFQ-MGB	31.4756	32.024	0.7755				false	0.01	false	16	22		Y	N	N	N
A4	PMNM_31	C	UNKNOWN	VIC	NFQ-MGB	38.5402	38.5402					false	0.01	false	16	22		N	N	N	N
A4	PMNM_31	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N	N	N	N
A5	PMNM_31	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	38.5402					false	0.01	false	16	22		N	N	N	N
A5	PMNM_31	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N	N	N	N
A6	PMNM_141	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	16	22		N	Y	N	N
