A* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = D:\Kelly_PMNM_plateA6.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	NOAMP
A1	blank																	N
A2	A-38	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
A3	A-38	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
A4	A-38	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
A5	A-38	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
A6	ddH2O	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
A7	ddH2O	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
A8	PMNM_12	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
A9	PMNM_12	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
A10	PMNM_22	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
A11	PMNM_22	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
A12	blank																	N
B1	PMNM_32	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
B2	PMNM_32	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
B3	PMNM_42	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
B4	PMNM_42	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
B5	PMNM_52	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
B6	PMNM_52	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
B7	PMNM_62	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
B8	PMNM_62	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
B9	PMNM_72	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
B10	PMNM_72	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
B11	PMNM_82	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
B12	PMNM_82	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
C1	PMNM_92	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
C2	PMNM_92	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
C3	PMNM_14	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
C4	PMNM_14	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
C5	PMNM_24	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
C6	PMNM_24	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
C7	PMNM_122	A	UNKNOWN	FAM	NFQ-MGB	34.4794	34.6068	0.1801				false	0.01	false	16	22		N
C8	PMNM_122	A	UNKNOWN	FAM	NFQ-MGB	34.7342	34.6068	0.1801				false	0.01	false	16	22		N
C9	PMNM_132	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
C10	PMNM_132	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
C11	PMNM_142	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
C12	PMNM_142	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
D1	PMNM_152	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
D2	PMNM_152	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
D3	PMNM_162	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
D4	PMNM_162	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
D5	PMNM_172	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
